temp,time_delay
56.000000,1.86627e-11
56.160000,1.86640e-11
56.320000,1.86652e-11
56.480000,1.86664e-11
56.640000,1.86676e-11
56.800000,1.86688e-11
56.960000,1.86700e-11
57.120000,1.86712e-11
57.280000,1.86724e-11
57.440000,1.86737e-11
57.600000,1.86749e-11
57.760000,1.86761e-11
57.920000,1.86773e-11
58.080000,1.86785e-11
58.240000,1.86796e-11
58.400000,1.86808e-11
58.560000,1.86820e-11
58.720000,1.86832e-11
58.880000,1.86844e-11
59.040000,1.86856e-11
59.200000,1.86868e-11
59.360000,1.86880e-11
59.520000,1.86891e-11
59.680000,1.86903e-11
59.840000,1.86915e-11
60.000000,1.86927e-11
60.160000,1.86938e-11
60.320000,1.86950e-11
60.480000,1.86962e-11
60.640000,1.86974e-11
60.800000,1.86985e-11
60.960000,1.86997e-11
61.120000,1.87008e-11
61.280000,1.87020e-11
61.440000,1.87032e-11
61.600000,1.87043e-11
61.760000,1.87055e-11
61.920000,1.87066e-11
62.080000,1.87078e-11
62.240000,1.87089e-11
62.400000,1.87101e-11
62.560000,1.87112e-11
62.720000,1.87123e-11
62.880000,1.87135e-11
63.040000,1.87146e-11
63.200000,1.87158e-11
63.360000,1.87169e-11
63.520000,1.87180e-11
63.680000,1.87192e-11
63.840000,1.87203e-11
64.000000,1.87214e-11
64.160000,1.87225e-11
64.320000,1.87237e-11
64.480000,1.87248e-11
64.640000,1.87259e-11
64.800000,1.87270e-11
64.960000,1.87281e-11
65.120000,1.87292e-11
65.280000,1.87304e-11
65.440000,1.87315e-11
65.600000,1.87326e-11
65.760000,1.87337e-11
65.920000,1.87348e-11
66.080000,1.87359e-11
66.240000,1.87370e-11
66.400000,1.87381e-11
66.560000,1.87392e-11
66.720000,1.87403e-11
66.880000,1.87414e-11
67.040000,1.87425e-11
67.200000,1.87435e-11
67.360000,1.87446e-11
67.520000,1.87457e-11
67.680000,1.87468e-11
67.840000,1.87479e-11
68.000000,1.87490e-11
68.160000,1.87500e-11
68.320000,1.87511e-11
68.480000,1.87522e-11
68.640000,1.87533e-11
68.800000,1.87543e-11
68.960000,1.87554e-11
69.120000,1.87565e-11
69.280000,1.87575e-11
69.440000,1.87586e-11
69.600000,1.87597e-11
69.760000,1.87607e-11
